core,total_core_plus_l1_mm2,l1i_mm2,l1d_mm2,l1_total_mm2,l1_pct_of_total,core_without_l1_mm2
A7,0.45,0.0384318,0.0384318,0.0768636,17.0808,0.3731364
A15,2.0,0.0345649,0.0345649,0.0691299,3.4565,1.9308701
